country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lesotho,257,258,292,317,336,337,329,358,349,348,348,358,350,434,471,398,431,511,589,590,559,549,560,557,575,578,594,588,629,654,682,716,750,762,792,805,838,857,861,856,880,903,902,935,944,968,1000,1040,1100,1110,1170,1240,1290,1300,1320,1340,1350,1410
Liberia,1270,1280,1270,1270,1300,1330,1400,1460,1490,1560,1620,1660,1680,1600,1630,1530,1560,1540,1570,1570,1460,1380,1300,1230,1170,1140,1120,1110,1100,823,410,358,236,160,125,116,123,235,283,322,392,390,395,271,273,280,292,307,316,320,327,344,361,383,377,367,353,352
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8780,8970,8670,8450,9400,9670,10700,11200,11700,11900,11600,12100,4580,10200,8820,6700,6070,5850,7310
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141000,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5320,5640,6150,6660,6630,6930,7450,8010,8930,9620,10500,11500,12900,13400,11500,12000,13000,13700,14300,14900,15400,15900,16800
Luxembourg,27100,27900,27900,28600,30500,29900,30000,30000,31200,34100,35500,36100,38000,40700,41800,38700,39500,40000,41600,42400,42600,42300,42700,44000,46700,47900,52400,54100,58300,63400,65900,70700,71000,73000,74800,74800,74800,78100,81800,87500,93500,94700,97300,97700,99800,101000,105000,112000,109000,102000,105000,105000,102000,104000,107000,108000,109000,108000
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3850,3620,3390,3150,3090,3060,3080,3110,3200,3320,3450,3330,3370,3440,3590,3760,3940,4190,4420,4400,4540,4650,4620,4750,4920,5100,5250,5250
Madagascar,716,713,712,688,698,677,674,693,721,728,747,755,725,687,681,671,632,629,595,635,622,545,520,510,504,496,491,483,486,491,492,448,440,436,423,417,413,415,418,424,430,442,374,399,408,414,422,436,454,423,413,407,408,406,409,410,416,422
Malawi,241,254,250,241,242,268,296,310,297,306,300,339,350,349,363,374,381,388,412,417,407,376,376,379,386,386,364,348,337,325,331,352,323,353,316,365,384,388,391,390,385,356,352,362,372,373,379,403,421,443,459,467,462,472,484,484,481,486
Malaysia,1350,1410,1450,1510,1550,1620,1700,1720,1810,1850,1920,2060,2200,2400,2540,2500,2720,2860,2970,3170,3320,3460,3580,3720,3910,3770,3710,3790,4040,4280,4530,4840,5130,5500,5860,6280,6730,7040,6360,6590,7010,6890,7110,7380,7730,7980,8270,8640,8890,8600,9070,9380,9710,9980,10400,10700,11000,11500
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4600,4860,5170,5460,5680,5780,5420,5670,6280,6490,5480,6740,7070,7540,6810,7100,7490,7460,7780,8120,8110,8420,8980
Mali,,,,,,,,341,349,345,361,364,379,367,355,389,434,454,440,477,447,445,404,403,394,465,470,463,490,503,481,526,497,499,504,496,517,528,554,570,554,620,621,656,646,666,675,675,684,694,708,709,683,679,706,726,746,762
Malta,,,,,,,,,,,3740,3830,4060,4230,4660,5530,6440,7200,7920,8660,9170,9410,9420,9230,9320,9390,9590,9920,10700,11400,12000,12400,12900,13300,14000,14700,15200,15900,16600,17300,18300,18300,18700,19000,19000,19600,19900,20600,21100,20500,21100,21300,21700,22300,23700,25300,26100,27100
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,2230,2240,2470,2450,2190,2600,2710,2800,2640,2630,2570,2700,2830,2960,3180,2830,2630,2540,2480,2620,2760,2830,2840,2840,2930,2970,3070,3020,2960,3150,3180,3280,3370,3330,3320,3370,3450
Mauritania,791,888,869,827,1030,1160,1130,1130,1210,1190,1300,1280,1240,1150,1250,1150,1210,1160,1120,1140,1140,1150,1090,1100,1030,1040,1060,1060,1040,1070,1020,1010,1000,1030,973,1040,1070,993,989,1030,998,988,966,995,1020,1080,1250,1250,1230,1180,1200,1220,1260,1290,1330,1310,1300,1310
Mauritius,,,,,,,,,,,,,,,,,2340,2460,2520,2560,2260,2360,2460,2450,2540,2690,2930,3170,3360,3480,3710,3830,4030,4180,4290,4440,4640,4840,5080,5150,5560,5660,5740,5910,6210,6250,6750,7100,7460,7680,8000,8310,8580,8850,9160,9470,9820,10200
Mexico,3810,3880,3930,4120,4470,4640,4770,4900,5200,5220,5390,5410,5670,5930,6080,6240,6330,6370,6760,7240,7720,8200,7970,7470,7580,7610,7180,7170,7120,7280,7500,7660,7780,7940,8170,7520,7890,8300,8590,8690,9000,8840,8730,8750,8980,9060,9330,9390,9350,8710,9020,9210,9410,9400,9540,9720,9870,9950
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,2320,2290,2300,2330,2360,2470,2510,2640,2580,2720,2620,2460,2530,2580,2710,2760,2780,2840,2760,2820,2830,2800,2750,2800,2860,2960,2900,2780,2720,2840,2820,2860
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,1030,1050,978,946,968,1030,1110,1190,1280,1380,1450,1500,1620,1520,1630,1740,1730,1890,1990,1980,2070,2170
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144000,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,1440,1520,1570,1620,1670,1770,1780,1830,1860,1760,1580,1420,1360,1380,1460,1480,1520,1560,1600,1600,1630,1690,1790,1960,2080,2230,2430,2600,2530,2650,3050,3370,3690,3900,3920,3910,4070
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5010,5280,4790,4950,4980,5060,5160,5380,5600,6070,6480,6930,6520,6680,6890,6700,6930,7050,7280,7490,7810
Morocco,,,,,,,816,876,940,995,1020,1050,1060,1070,1110,1170,1260,1310,1300,1330,1350,1290,1380,1360,1420,1470,1570,1530,1680,1700,1720,1810,1740,1700,1850,1720,1910,1850,1960,1960,1970,2090,2130,2230,2310,2360,2510,2570,2690,2770,2830,2940,2990,3080,3110,3210,3200,3290
Mozambique,,,,,,,,,,,,,,,,,,,,,190,195,178,147,135,135,132,151,164,174,173,177,162,169,173,171,210,226,247,259,257,281,297,307,321,339,362,377,392,405,419,436,454,473,493,511,515,519
Myanmar,159,156,159,177,163,176,164,150,164,166,170,172,173,167,172,175,181,187,195,200,211,220,227,232,238,240,233,219,191,195,197,193,209,219,233,246,259,270,282,309,347,382,423,477,536,604,678,754,826,907,988,1030,1100,1180,1270,1340,1410,1480
Namibia,,,,,,,,,,,,,,,,,,,,,4360,4310,4200,4030,3910,3800,3830,3800,3670,3580,3510,3660,3800,3630,3590,3620,3620,3660,3670,3700,3750,3720,3850,3960,4390,4450,4720,4970,5040,4980,5190,5350,5500,5680,5900,6120,6030,5850
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970,4010,4360,4910,5470,5890,7510,9360,9140,9650,9610
Nepal,267,268,269,270,285,277,291,281,278,285,286,277,280,273,284,282,288,290,296,296,283,300,304,288,309,320,328,326,343,350,357,370,375,379,399,403,415,426,430,440,459,473,466,476,492,502,513,525,552,571,592,606,627,645,676,690,685,728
Netherlands,16400,16200,17100,17400,18600,20000,20200,21100,22200,23300,24400,25100,25700,26900,27600,27400,28400,28900,29500,29900,30100,29600,29100,29600,30400,31100,31700,32100,33000,34300,35500,36100,36400,36600,37500,38400,39600,41100,42700,44600,46100,46800,46500,46400,47200,48100,49700,51400,52100,49900,50300,50900,50200,50000,50500,51400,52300,53600
New Zealand,,,,,,,,,,,20200,20700,21300,22600,23400,22600,22600,21600,21700,22200,22500,23500,23400,23900,24900,25100,25800,24500,24900,24900,24800,23300,23300,24600,25500,26300,26700,27200,27200,28500,29000,29900,30900,31600,32200,32900,33300,34300,33400,33700,33700,34300,35000,35400,36100,37000,37500,37900
Nicaragua,1530,1590,1720,1840,1980,2100,2110,2190,2150,2210,2180,2180,2160,2230,2470,2390,2440,2570,2290,1640,1660,1700,1640,1680,1610,1500,1460,1410,1210,1160,1140,1110,1090,1060,1080,1120,1170,1190,1210,1280,1310,1330,1320,1340,1390,1430,1460,1520,1550,1480,1530,1600,1690,1750,1810,1880,1940,2020
Niger,612,622,667,709,689,716,693,674,658,605,606,623,574,463,490,463,453,475,523,545,517,506,499,462,373,391,404,393,408,400,382,380,344,337,339,335,335,332,353,339,322,333,331,336,324,326,333,331,349,334,348,343,369,374,387,388,392,396
Nigeria,1300,1280,1300,1380,1420,1460,1370,1130,1090,1320,1620,1800,1820,1870,2030,1870,1980,2040,1870,1930,1960,1650,1600,1480,1410,1490,1320,1150,1210,1250,1370,1330,1300,1300,1280,1240,1270,1280,1280,1250,1290,1310,1330,1430,1860,1880,1980,2060,2130,2220,2330,2380,2410,2480,2560,2560,2460,2410
Norway,23200,24400,24900,25700,26800,28000,28800,30300,30800,31900,32300,33900,35400,36700,37900,39600,41700,43300,44800,46600,48500,49100,49100,50900,53800,56600,58700,59400,59000,59300,60300,61800,63700,65100,68000,70500,73600,77100,78700,79700,81700,83000,83700,84000,86800,88500,89900,91600,90900,88300,87800,87500,88700,88500,89300,90100,90300,91200
Oman,,,,,,2350,2410,3890,6880,8380,9240,9010,9550,7870,8420,10000,11500,11000,10000,9880,9910,11000,11600,12800,14200,15500,15100,14100,14400,15500,14900,15100,15700,15900,15900,16300,16500,17400,17900,17800,18700,19300,18800,17900,17700,17600,18100,18300,19100,19400,19300,17900,18300,17800,17200,17000,17000,16100
Pakistan,305,315,322,341,358,385,397,407,425,436,473,463,454,473,476,481,491,495,519,521,556,581,598,618,628,654,667,688,718,731,742,758,795,788,797,815,834,822,822,833,849,847,855,878,924,975,1010,1040,1040,1050,1040,1050,1060,1080,1110,1140,1180,1220
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9340,9750,9950,9640,10100,10700,10400,10400,9640,9070,8930,9440,9740,9520,9690,10600,10500,9980
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,1560,1600,1900,2330,2680,2360,2150,2060,2210,2330,2520,2350,2250,2020,2340,2340,2440,2710,2520,2420,2640,2660,2490
Panama,2140,2300,2420,2550,2580,2740,2860,3020,3140,3300,3430,3660,3720,3810,3800,3760,3730,3670,3930,4010,4430,4720,4860,4540,4560,4680,4740,4550,3860,3840,4060,4350,4610,4760,4800,4790,4880,5090,5360,5450,5490,5420,5440,5560,5870,6170,6580,7240,7810,7770,8080,8840,9540,10000,10400,10700,11100,11500
Papua New Guinea,1140,1180,1230,1250,1330,1440,1490,1510,1540,1620,1750,1820,1870,1940,1940,1870,1760,1730,1830,1810,1720,1670,1620,1630,1580,1600,1630,1630,1640,1580,1490,1590,1770,2040,2110,1980,2080,1950,1830,1810,1720,1680,1630,1630,1630,1690,1690,1830,1790,1860,2000,1980,2030,2060,2330,2400,2400,2400
Paraguay,1030,1070,1070,1100,1110,1150,1140,1210,1240,1260,1300,1340,1390,1460,1540,1610,1690,1830,2000,2180,2370,2510,2410,2270,2270,2300,2350,2460,2530,2630,2670,2690,2670,2740,2810,2940,2920,2970,2910,2810,2690,2620,2570,2630,2690,2710,2800,2910,3050,2890,3230,3320,3240,3640,3760,3820,3930,3910
Peru,2680,2800,3000,3040,3140,3230,3390,3430,3340,3360,3380,3440,3470,3590,3830,3890,3840,3750,3560,3610,3730,3840,3740,3270,3310,3300,3530,3790,3360,2880,2680,2680,2620,2700,2980,3140,3180,3330,3270,3270,3310,3290,3420,3520,3650,3830,4070,4360,4700,4700,5020,5270,5520,5770,5830,5940,6090,6170
Philippines,1060,1080,1100,1140,1140,1160,1180,1200,1230,1250,1260,1290,1320,1400,1410,1440,1530,1570,1600,1650,1690,1700,1710,1700,1530,1380,1390,1410,1470,1520,1530,1480,1450,1440,1470,1510,1560,1600,1560,1570,1610,1620,1640,1690,1770,1820,1880,1970,2020,2010,2130,2170,2280,2400,2510,2620,2750,2890
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5950,5510,5630,5830,6120,6540,6930,7370,7710,8070,8530,8640,8820,9140,9610,9950,10600,11300,11800,12100,12600,13200,13400,13600,14100,14600,15100,15800
Portugal,4510,4720,4990,5270,5590,6040,6330,6850,7490,7720,8770,9390,10200,11300,11300,10400,10800,11300,11500,12000,12400,12500,12700,12600,12300,12600,13100,14000,15000,16000,16700,17500,17700,17300,17400,18100,18600,19400,20200,20900,21500,21800,21800,21500,21900,22000,22300,22800,22800,22100,22500,22200,21400,21200,21500,22000,22400,23100
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60900,60700,62200,60500,65400,61700,66600,66800,67300,65800,70300,72700,70400,68900,67900,67300,66400,65700
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5360,4710,4330,4400,4580,4920,5130,4890,4800,4790,4910,5260,5630,5990,6520,6840,7430,8060,8870,8420,8230,8440,8580,8920,9230,9640,10200,10900
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9870,9530,9030,7720,7060,6180,5920,5710,5800,5510,5880,6490,6850,7210,7770,8360,8930,9690,10500,11100,10200,10700,11200,11600,11800,11700,11300,11300,11400
Rwanda,332,311,340,301,259,271,282,293,304,327,336,330,321,323,318,301,349,345,364,394,415,423,417,427,395,396,399,380,380,370,360,360,401,392,205,280,307,327,329,319,327,342,378,380,402,431,460,482,521,539,563,593,628,641,673,714,739,765
Samoa,,,,,,,,,,,,,,,,,,,,,,,2210,2200,2220,2290,2410,2420,2380,2450,2330,2260,2240,2310,2230,2360,2510,2510,2560,2600,2770,2940,3050,3170,3300,3410,3460,3650,3660,3460,3450,3620,3610,3510,3520,3560,3780,3850
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60800,64700,69700,70400,73400,72700,74600,77000,77800,79800,84500,84800,73000,68800,61500,56100,53800,52700,52500,52600,52900
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863,863,899,911,953,1020,1020,1080,1080,1130,1150,1160,1190,1240,1260,1280,1310
Saudi Arabia,,,,,,,,,14300,14500,22100,25500,29900,35400,39100,33900,37900,38600,34700,36700,36500,35000,26000,20500,18400,15700,17500,15600,16900,16200,18000,20000,20200,19400,19000,18600,18700,18600,18800,17700,18300,17600,16600,18000,18800,19300,19300,19100,19800,18900,19300,20600,21100,21000,21200,21500,21400,20800
Senegal,1080,1080,1050,1040,1050,1040,1040,996,1030,933,983,953,983,900,911,953,1010,961,901,941,886,906,949,872,877,879,879,904,872,879,847,842,827,814,790,811,806,811,839,871,877,895,878,912,941,967,965,986,994,990,1000,991,1000,1010,1020,1050,1090,1130
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3150,3230,3480,3570,3150,3410,3580,3840,4020,4390,4650,4900,5210,5510,5360,5410,5530,5500,5670,5590,5660,5850,5990
Seychelles,2830,2620,2760,2970,3060,2960,3280,3220,3380,3300,3510,3990,4140,4440,4420,4460,5080,4670,5620,6450,6120,5550,5460,5370,5580,6150,6100,6100,6410,7080,7540,7650,8160,8490,8200,8010,8280,9160,9740,9730,9790,9560,9380,8930,8710,9450,10100,11100,10600,10500,10800,12000,12000,12500,12900,13200,13600,14000
Sierra Leone,376,378,389,390,410,432,433,426,427,456,486,493,487,488,494,491,478,467,467,477,488,490,502,480,488,450,442,460,415,408,416,423,343,350,345,318,323,302,304,293,304,274,331,345,351,353,356,374,385,388,399,415,467,551,563,437,454,462
Singapore,3390,3540,3690,3960,3720,3910,4220,4640,5180,5800,6510,7160,7980,8700,9110,9400,9960,10600,11300,12300,13300,14000,14400,15400,16500,16300,16600,18100,19600,21000,22200,23000,23900,26000,27900,29000,30000,31400,29600,31200,33400,32200,33200,35200,38100,40000,42200,44200,42700,41100,46600,48500,49300,50900,52200,52800,53400,55200
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7680,7790,8240,8700,9270,9810,10200,10200,10300,10700,11100,11800,12400,13200,14300,15900,16700,15800,16600,17000,17300,17500,18000,18700,19300,19900
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15100,15600,16400,17000,17900,18600,19100,19800,20300,21200,22000,23200,24700,25400,23300,23400,23500,22900,22600,23200,23700,24500,25700
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,1340,1470,1480,1570,1650,1630,1570,1550,1500,1250,1120,1060,1100,1130,1160,1210,1270,1330,1240,1290,1430,1460,1470,1480,1480,1500,1520
South Africa,4530,4580,4740,4950,5200,5370,5460,5700,5780,5890,6030,6120,6050,6150,6350,6290,6260,6100,6130,6200,6450,6620,6430,6150,6310,6080,5950,5950,6070,6090,5930,5740,5490,5420,5470,5530,5660,5710,5640,5690,5840,5910,6050,6140,6340,6600,6890,7190,7340,7150,7280,7420,7480,7550,7580,7580,7520,7520
South Korea,944,980,989,1050,1120,1170,1280,1360,1510,1690,1820,1970,2070,2330,2510,2660,2960,3280,3570,3820,3700,3900,4160,4640,5070,5410,5950,6630,7350,7780,8460,9250,9720,10300,11100,12100,12800,13500,12700,14000,15100,15700,16700,17100,17900,18600,19400,20400,20800,20800,22100,22700,23100,23700,24300,24900,25500,26200
Spain,7360,8160,8880,9650,10100,10600,11200,11600,12200,13100,13500,14000,15000,16000,16700,16600,17000,17300,17300,17200,17400,17300,17400,17600,17900,18200,18800,19700,20700,21700,22500,23000,23100,22700,23200,23700,24200,25000,26000,27000,28300,29300,29700,30100,30500,31100,31900,32500,32300,30900,30700,30300,29400,29000,29500,30500,31500,32400
Sri Lanka,,586,594,595,604,605,620,644,666,701,712,706,690,724,738,769,780,805,835,873,909,946,971,1000,1040,1080,1110,1110,1120,1130,1190,1230,1270,1340,1400,1470,1510,1600,1670,1730,1820,1780,1840,1930,2020,2130,2280,2420,2540,2620,2810,3030,3290,3370,3510,3650,3770,3840
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,4050,4250,4590,5000,5090,5140,5230,5710,6240,6960,7460,8230,8740,9170,8930,9240,9770,10200,10600,11100,11800,11600,11800,12900,13400,13600,12900,13200,14200,14200,14100,14800,14200,13700,13900,13600,14300,15000,15500,15700,15800
St. Lucia,,,,,,,,,,,,,,,,,,3310,3600,3680,3560,3730,3760,3890,4110,4380,4920,5030,5600,6000,6490,6440,6850,6820,6860,6890,7000,6860,7200,7300,7220,6910,6880,7120,7580,7480,7870,7860,8200,8210,8010,8000,7970,8200,8150,8270,8370,8550
St. Vincent and the Grenadines,1750,1810,1850,1710,1760,1750,1740,1550,1640,1670,1830,1860,2320,2040,1840,1680,1830,2050,2230,2290,2320,2410,2490,2530,2680,2820,2960,2950,3350,3380,3500,3530,3750,3910,3860,4160,4210,4370,4550,4670,4750,4830,5120,5510,5720,5860,6300,6190,6600,6450,6230,6200,6290,6410,6470,6580,6650,6740
Sudan,888,865,900,851,818,850,796,785,777,765,786,780,718,701,757,848,958,984,895,822,807,838,858,847,779,708,725,806,782,830,765,801,832,847,833,860,886,954,967,970,1000,1040,1070,1130,1140,1190,1280,1390,1460,1460,1480,1590,1800,1830,1840,1880,1920,1960
Suriname,,,,,,,,,,,,,,,,7610,7370,8120,8720,8180,7740,7750,7580,7320,6990,6790,6460,5450,5810,6310,6160,6210,6090,5550,5640,5620,5610,5850,5870,5750,5690,5880,6060,6360,6870,7110,7300,7600,7830,7980,8300,8700,8840,9010,8940,8630,8110,8040
Swaziland,,,,,,,,,,,1190,1310,1340,1420,1460,1610,1530,1500,1470,1470,1600,1780,1750,1720,1770,1770,1910,2100,2140,2330,2720,2690,2720,2750,2760,2840,2880,2900,2920,2950,2950,2950,3060,3160,3250,3410,3570,3670,3630,3620,3690,3700,3810,3980,3980,3920,3910,3910
Sweden,18100,19100,19800,20700,22000,22600,22900,23400,24200,25200,26500,26500,27100,28100,28900,29500,29700,29100,29600,30600,31100,31200,31600,32200,33500,34200,35000,36000,36800,37500,37500,36800,36200,35200,36400,37700,38200,39300,40900,42700,44700,45300,46100,47000,48800,50000,52000,53400,52700,49600,52100,53100,52500,52700,53600,55400,56500,56900
Switzerland,,,,,,,,,,,,,,,,,,,,,54900,55500,54400,54500,56000,57800,58500,59100,60600,62700,64300,63000,62200,61600,61900,61800,61800,63100,64800,65600,67800,68300,67900,67400,68800,70500,72800,75100,75800,73200,74600,75000,75000,75500,76400,76500,76700,76700
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,1370,1380,1320,1450,1320,1280,1160,809,665,516,445,365,366,380,388,414,448,487,530,573,598,627,661,698,709,738,775,815,856,893,926,968,1020
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,477,494,488,475,465,457,459,467,471,476,486,497,513,535,555,582,611,620,652,667,681,702,734,748,777,806,836,867,901
Thailand,571,584,609,639,662,695,750,790,830,859,929,947,960,1030,1050,1070,1140,1230,1320,1360,1400,1460,1510,1560,1620,1670,1730,1860,2070,2280,2500,2680,2870,3080,3300,3530,3690,3550,3240,3350,3460,3540,3730,3970,4190,4340,4530,4740,4800,4740,5080,5090,5440,5560,5590,5740,5910,6130
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1430,1290,1230,1940,2560,3550,3680,3990,3700,3600,3950,4060,3530,2550,3010,2970,2670
Togo,349,387,398,413,464,521,549,553,554,587,579,561,587,595,609,610,585,612,664,614,683,639,595,542,551,562,552,537,555,561,545,528,495,411,462,485,513,569,539,535,516,493,476,486,484,477,483,481,478,482,488,498,509,515,531,546,561,577
Tonga,,,,,,,,,,,,,,,,,,,,,,2200,2300,2350,2390,2540,2590,2660,2600,2600,2540,2700,2700,2800,2930,3040,3030,3010,3080,3180,3280,3380,3470,3520,3490,3520,3470,3300,3390,3440,3550,3630,3650,3520,3580,3690,3790,3860
Trinidad and Tobago,5040,5630,5690,5930,6300,6280,6490,6570,6880,7020,7200,7200,7520,7530,7710,7710,8090,8710,9450,9650,9410,9650,9860,8700,8080,7640,7310,6910,6590,6490,6540,6670,6520,6390,6590,6870,7340,7880,8510,9170,9780,10200,10900,12400,13300,14100,15900,16600,17100,16200,16700,16600,16700,16800,16600,16800,15800,15400
Tunisia,,,,,,1110,1130,1110,1200,1220,1250,1360,1560,1520,1610,1680,1770,1790,1860,1940,2030,2080,2010,2050,2110,2170,2080,2170,2120,2110,2230,2260,2390,2390,2420,2430,2570,2670,2760,2900,3000,3090,3110,3230,3400,3490,3640,3850,3970,4040,4140,4010,4130,4200,4270,4270,4270,4300
Turkey,3180,3130,3230,3440,3540,3560,3860,3950,4120,4190,4220,4350,4560,4600,4740,4970,5360,5420,5380,5230,4990,5110,5170,5310,5540,5660,5940,6380,6400,6310,6770,6710,6930,7340,6890,7320,7730,8190,8240,7840,8240,7630,8000,8330,9010,9690,10300,10600,10600,9970,10700,11700,12100,12900,13300,13900,14100,14900
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,2790,3020,2820,3710,3440,2850,2810,2260,2050,2150,1880,1980,2280,2380,2460,2440,2500,2590,2900,3180,3490,3950,4130,4440,5010,5460,5910,6400,6690,6990,7320
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2380,2450,2510,2600,2850,2700,2530,2780,3200,3130,3080,3100,3300,3150,3070,2910,2940,3100,3310,3130,3020,3220,3070,3180,3200,3460,3530,3620
Uganda,,,,,,,,,,,,,,,,,,,,,,,303,311,300,281,273,274,286,294,302,308,308,323,333,360,380,388,394,413,412,419,441,453,467,480,514,538,565,583,595,629,632,632,643,654,662,667
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,4020,4110,4240,3970,3620,3260,2800,2170,1920,1740,1700,1690,1700,1820,2010,2130,2350,2650,2750,2970,3220,3310,2830,2970,3140,3150,3160,3120,2830,2910,2990
United Arab Emirates,,,,,,,,,,,,,,,,102000,102000,107000,92800,100000,114000,111000,97300,87900,86900,79400,63800,62200,57100,60500,67600,64400,62800,60100,60900,61800,62300,64200,61200,59800,62800,60400,58700,59900,60000,56200,53900,48300,43700,37200,35000,35700,36400,37800,39100,40800,41400,41200
United Kingdom,13800,14100,14100,14600,15200,15600,15800,16100,16600,16900,17900,18500,19200,20400,19900,19600,20200,20700,21600,22300,21900,21700,22100,23100,23500,24500,25200,26500,27900,28600,28700,28300,28300,29000,30000,30700,31400,32600,33500,34400,35600,36300,37100,38100,38800,39700,40400,41100,40500,38500,38900,39200,39500,40000,40900,41500,42000,42500
United States,17000,17100,17900,18400,19200,20200,21300,21600,22400,22900,23300,23800,24800,25900,25500,25200,26300,27300,28500,29100,28700,29200,28400,29400,31300,32300,33100,34000,35100,36000,36300,35800,36600,37100,38100,38700,39700,41000,42300,43800,45100,45000,45400,46300,47600,48800,49600,50000,49400,47600,48400,48800,49500,50000,50900,51900,52300,53100
Uruguay,5470,5540,5380,5330,5400,5400,5500,5250,5300,5570,5670,5640,5560,5570,5730,6070,6280,6340,6630,7000,7350,7420,6650,5930,5820,5870,6350,6810,6870,6900,6880,7070,7580,7720,8220,8040,8430,9090,9440,9210,9000,8640,7970,8040,8440,9070,9420,10000,10700,11100,11900,12500,12900,13500,13900,13900,14000,14400
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,1000,1010,997,972,843,805,748,728,727,750,770,794,813,837,860,885,943,997,1060,1150,1230,1310,1380,1450,1550,1650,1740,1850,1960,2030
Vanuatu,,,,,,,,,,,,,,,,,,,,2400,2070,2100,2270,2530,2710,2680,2610,2480,2380,2360,2560,2570,2560,2510,2660,2630,2630,2710,2780,2740,2840,2680,2480,2520,2560,2630,2780,2850,2960,2990,2970,2930,2920,2910,2910,2820,2870,2940
Venezuela,12400,12400,12900,12900,13800,13900,13600,13500,14100,13700,14300,14100,13900,14500,14400,14400,15100,15600,15500,15200,14100,13700,13100,12200,12100,11800,12300,12400,12800,11400,11800,12700,13100,12900,12300,12500,12300,12800,12600,11600,11800,12000,10700,9710,11300,12200,13200,14100,14700,14000,13500,13900,14500,14500,13700,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,377,382,384,389,400,420,432,448,477,505,540,581,626,667,697,721,762,800,842,892,950,1010,1070,1140,1190,1240,1310,1380,1430,1490,1570,1650,1740,1830
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973,984,1010,1000,1020,1030,1040,1060,1090,1100,1140,1150,1160,1170,1180,1210,1220,1230,1240,1250,1310,1110,1110,1130,1100,675,432,
Zambia,1510,1480,1400,1400,1520,1720,1580,1650,1620,1560,1580,1530,1610,1540,1580,1500,1530,1420,1380,1290,1280,1320,1240,1170,1130,1110,1090,1080,1120,1080,1040,1020,975,1020,904,906,936,944,913,929,938,961,978,1020,1060,1110,1160,1230,1290,1370,1460,1500,1570,1600,1620,1620,1630,1650
Zimbabwe,898,924,907,932,893,907,891,936,925,1010,1190,1260,1320,1310,1350,1280,1250,1130,1060,1060,1180,1270,1260,1230,1160,1200,1180,1150,1200,1220,1270,1310,1160,1150,1230,1210,1320,1330,1350,1320,1260,1260,1140,936,872,812,772,733,593,652,720,814,914,942,940,934,918,927
